,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,830.00,"1,030.00",930.00,Rs./Quintal,70.00,Metric Tonnes,09-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,"1,200.00","1,340.00","1,270.00",Rs./Quintal,50.00,Metric Tonnes,09-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,500.00,700.00,600.00,Rs./Quintal,70.00,Metric Tonnes,09-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,Grade A,"1,240.00","1,240.00","1,240.00",Rs./Quintal,25.00,Metric Tonnes,08-11-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,520.00,720.00,620.00,Rs./Quintal,60.00,Metric Tonnes,08-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,540.00,740.00,640.00,Rs./Quintal,60.00,Metric Tonnes,06-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,840.00,"1,040.00",940.00,Rs./Quintal,60.00,Metric Tonnes,05-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,550.00,750.00,650.00,Rs./Quintal,60.00,Metric Tonnes,05-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,850.00,"1,050.00",950.00,Rs./Quintal,70.00,Metric Tonnes,04-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,570.00,870.00,670.00,Rs./Quintal,70.00,Metric Tonnes,04-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,900.00,"1,100.00","1,000.00",Rs./Quintal,60.00,Metric Tonnes,03-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,570.00,770.00,670.00,Rs./Quintal,60.00,Metric Tonnes,03-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,160.00","1,080.00",Rs./Quintal,70.00,Metric Tonnes,02-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,560.00,760.00,660.00,Rs./Quintal,60.00,Metric Tonnes,02-01-2026
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,180.00","1,090.00",Rs./Quintal,60.00,Metric Tonnes,01-12-2025
Uttar Pradesh,Agra,Achnera APMC,Vegetables,Potato,Desi,FAQ,590.00,790.00,690.00,Rs./Quintal,60.00,Metric Tonnes,01-01-2026
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,800.00,700.00,Rs./Quintal,"1,600.00",Metric Tonnes,31-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,620.00,800.00,710.00,Rs./Quintal,"1,500.00",Metric Tonnes,30-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,200.00","1,080.00",Rs./Quintal,"1,750.00",Metric Tonnes,30-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,580.00,800.00,700.00,Rs./Quintal,"1,750.00",Metric Tonnes,29-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,950.00,"1,200.00","1,060.00",Rs./Quintal,"1,860.00",Metric Tonnes,29-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,950.00,"1,180.00","1,050.00",Rs./Quintal,"2,100.00",Metric Tonnes,28-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,800.00,710.00,Rs./Quintal,"2,050.00",Metric Tonnes,27-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,200.00","1,080.00",Rs./Quintal,"2,000.00",Metric Tonnes,27-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,820.00,720.00,Rs./Quintal,"2,000.00",Metric Tonnes,26-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,250.00","1,100.00",Rs./Quintal,"1,950.00",Metric Tonnes,26-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,850.00,730.00,Rs./Quintal,"1,980.00",Metric Tonnes,25-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,040.00","1,250.00","1,120.00",Rs./Quintal,"1,800.00",Metric Tonnes,25-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,"1,000.00",740.00,Rs./Quintal,"1,900.00",Metric Tonnes,24-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,050.00","1,250.00","1,150.00",Rs./Quintal,"1,650.00",Metric Tonnes,24-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,900.00,730.00,Rs./Quintal,"2,250.00",Metric Tonnes,23-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,050.00","1,300.00","1,180.00",Rs./Quintal,"1,600.00",Metric Tonnes,23-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,850.00,750.00,Rs./Quintal,"2,200.00",Metric Tonnes,22-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,100.00","1,340.00","1,210.00",Rs./Quintal,"1,540.00",Metric Tonnes,22-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,620.00,860.00,760.00,Rs./Quintal,"2,100.00",Metric Tonnes,21-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,100.00","1,300.00","1,200.00",Rs./Quintal,"1,800.00",Metric Tonnes,21-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,650.00,880.00,780.00,Rs./Quintal,"2,250.00",Metric Tonnes,20-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,150.00","1,400.00","1,250.00",Rs./Quintal,"1,580.00",Metric Tonnes,20-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,650.00,950.00,820.00,Rs./Quintal,"2,200.00",Metric Tonnes,19-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,100.00","1,360.00","1,240.00",Rs./Quintal,"1,600.00",Metric Tonnes,19-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,650.00,"1,000.00",855.00,Rs./Quintal,"1,950.00",Metric Tonnes,18-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,100.00","1,380.00","1,250.00",Rs./Quintal,"1,750.00",Metric Tonnes,18-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,"1,050.00",840.00,Rs./Quintal,"2,050.00",Metric Tonnes,17-12-2025
